raceId,driverId,lap,position,time,milliseconds
989,838,34,8,1:29.462,89462
989,838,33,8,1:29.575,89575
989,838,32,8,1:31.149,91149
989,838,31,8,2:10.125,130125
989,838,30,8,1:56.005,116005
989,838,29,8,1:43.851,103851
989,838,28,8,2:03.341,123341
989,838,27,8,2:05.572,125572
989,838,26,8,2:07.933,127933
989,838,25,7,1:48.016,108016
989,838,24,6,1:30.471,90471
989,838,23,8,1:29.811,89811
989,838,22,8,1:31.943,91943
989,838,21,10,1:30.439,90439
989,838,20,11,1:29.890,89890
989,838,19,11,1:29.922,89922
989,838,18,11,1:30.176,90176
989,838,17,11,1:30.462,90462
989,838,16,11,1:30.063,90063
989,838,15,11,1:30.557,90557
989,838,14,11,1:30.308,90308
989,838,13,11,1:30.506,90506
989,838,12,11,1:30.807,90807
989,838,11,11,1:30.644,90644
989,838,10,11,1:30.591,90591
989,838,9,11,1:30.948,90948
989,838,8,11,1:31.048,91048
989,838,7,11,1:31.602,91602
989,838,6,11,1:31.963,91963
989,838,5,11,1:31.471,91471
989,838,4,11,1:30.857,90857
989,838,3,11,1:31.560,91560
989,838,2,11,1:32.173,92173
989,838,1,11,1:41.951,101951
989,4,58,5,1:27.343,87343
989,4,57,5,1:26.978,86978
989,4,56,5,1:27.282,87282
989,4,55,5,1:27.154,87154
989,4,54,5,1:27.120,87120
989,4,53,5,1:27.425,87425
989,4,52,5,1:27.546,87546
989,4,51,5,1:27.351,87351
989,4,50,5,1:27.677,87677
989,4,49,5,1:27.920,87920
989,4,48,5,1:28.425,88425
989,4,47,5,1:27.994,87994
989,4,46,5,1:28.206,88206
989,4,45,5,1:28.174,88174
989,4,44,5,1:28.096,88096
989,4,43,5,1:28.020,88020
989,4,42,5,1:27.936,87936
989,4,41,5,1:28.080,88080
989,4,40,5,1:28.279,88279
989,4,39,5,1:28.162,88162
989,4,38,5,1:28.404,88404
989,4,37,5,1:28.451,88451
989,4,36,5,1:28.380,88380
989,4,35,5,1:28.627,88627
989,4,34,5,1:29.205,89205
989,4,33,5,1:29.043,89043
989,4,32,5,1:30.188,90188
989,4,31,5,2:12.005,132005
989,4,30,6,1:58.259,118259
989,4,29,6,1:49.309,109309
989,4,28,6,2:03.009,123009
989,4,27,6,2:10.157,130157
989,4,26,5,2:20.530,140530
989,4,25,5,1:29.137,89137
989,4,24,5,1:29.177,89177
989,4,23,7,1:28.803,88803
989,4,22,7,1:29.626,89626
989,4,21,9,1:29.865,89865
989,4,20,10,1:29.617,89617
989,4,19,10,1:29.597,89597
989,4,18,10,1:30.182,90182
989,4,17,10,1:30.266,90266
989,4,16,10,1:29.985,89985
989,4,15,10,1:30.501,90501
989,4,14,10,1:30.069,90069
989,4,13,10,1:30.171,90171
989,4,12,10,1:30.492,90492
989,4,11,10,1:30.872,90872
989,4,10,10,1:30.985,90985
989,4,9,10,1:30.407,90407
989,4,8,10,1:30.926,90926
989,4,7,10,1:31.167,91167
989,4,6,10,1:31.731,91731
989,4,5,10,1:31.910,91910
989,4,4,10,1:30.551,90551
989,4,3,10,1:31.304,91304
989,4,2,10,1:31.565,91565
989,4,1,10,1:41.528,101528
989,832,58,10,1:28.931,88931
989,832,57,10,1:27.996,87996
989,832,56,10,1:28.104,88104
989,832,55,10,1:28.303,88303
989,832,54,10,1:28.164,88164
989,832,53,10,1:28.497,88497
989,832,52,10,1:28.441,88441
989,832,51,10,1:27.944,87944
989,832,50,10,1:28.027,88027
989,832,49,10,1:28.302,88302
989,832,48,10,1:28.193,88193
989,832,47,10,1:28.133,88133
989,832,46,10,1:28.493,88493
989,832,45,10,1:28.143,88143
989,832,44,10,1:28.303,88303
989,832,43,10,1:28.523,88523
989,832,42,10,1:28.306,88306
989,832,41,10,1:28.261,88261
989,832,40,10,1:28.503,88503
989,832,39,10,1:28.443,88443
989,832,38,10,1:28.867,88867
989,832,37,10,1:28.786,88786
989,832,36,10,1:28.688,88688
989,832,35,10,1:29.327,89327
989,832,34,10,1:29.662,89662
989,832,33,10,1:30.151,90151
989,832,32,10,1:31.990,91990
989,832,31,10,2:06.289,126289
989,832,30,10,1:55.171,115171
989,832,29,10,1:37.413,97413
989,832,28,10,2:05.043,125043
989,832,27,10,2:04.940,124940
989,832,26,10,2:03.195,123195
989,832,25,10,1:42.007,102007
989,832,24,12,1:28.586,88586
989,832,23,13,1:34.136,94136
989,832,22,15,1:55.942,115942
989,832,21,8,1:30.165,90165
989,832,20,9,1:29.739,89739
989,832,19,9,1:30.127,90127
989,832,18,9,1:30.023,90023
989,832,17,9,1:30.143,90143
989,832,16,9,1:30.164,90164
989,832,15,9,1:30.315,90315
989,832,14,9,1:30.309,90309
989,832,13,9,1:30.078,90078
989,832,12,9,1:30.344,90344
989,832,11,9,1:30.365,90365
989,832,10,9,1:32.039,92039
989,832,9,9,1:30.239,90239
989,832,8,9,1:30.596,90596
989,832,7,9,1:30.680,90680
989,832,6,9,1:31.816,91816
989,832,5,9,1:31.834,91834
989,832,4,9,1:30.672,90672
989,832,3,9,1:31.267,91267
989,832,2,9,1:31.322,91322
989,832,1,9,1:40.565,100565
989,817,58,4,1:27.199,87199
989,817,57,4,1:26.348,86348
989,817,56,4,1:26.429,86429
989,817,55,4,1:26.165,86165
989,817,54,4,1:25.945,85945
989,817,53,4,1:27.355,87355
989,817,52,4,1:27.904,87904
989,817,51,4,1:27.606,87606
989,817,50,4,1:26.725,86725
989,817,49,4,1:27.527,87527
989,817,48,4,1:27.094,87094
989,817,47,4,1:27.392,87392
989,817,46,4,1:27.316,87316
989,817,45,4,1:27.166,87166
989,817,44,4,1:27.185,87185
989,817,43,4,1:27.478,87478
989,817,42,4,1:26.872,86872
989,817,41,4,1:27.110,87110
989,817,40,4,1:27.204,87204
989,817,39,4,1:27.534,87534
989,817,38,4,1:27.868,87868
989,817,37,4,1:27.444,87444
989,817,36,4,1:27.412,87412
989,817,35,4,1:27.907,87907
989,817,34,4,1:27.859,87859
989,817,33,4,1:27.984,87984
989,817,32,4,1:28.909,88909
989,817,31,4,2:16.895,136895
989,817,30,4,1:59.575,119575
989,817,29,4,1:56.632,116632
989,817,28,4,2:01.319,121319
989,817,27,4,2:09.560,129560
989,817,26,4,2:17.173,137173
989,817,25,4,1:28.127,88127
989,817,24,4,1:29.301,89301
989,817,23,5,1:29.328,89328
989,817,22,5,1:29.653,89653
989,817,21,6,1:29.608,89608
989,817,20,6,1:30.031,90031
989,817,19,6,1:30.222,90222
989,817,18,6,1:29.998,89998
989,817,17,6,1:30.190,90190
989,817,16,6,1:29.793,89793
989,817,15,6,1:30.310,90310
989,817,14,6,1:29.869,89869
989,817,13,6,1:29.684,89684
989,817,12,6,1:29.913,89913
989,817,11,6,1:29.605,89605
989,817,10,6,1:31.265,91265
989,817,9,7,1:29.654,89654
989,817,8,7,1:29.921,89921
989,817,7,7,1:30.559,90559
989,817,6,7,1:30.718,90718
989,817,5,7,1:31.690,91690
989,817,4,8,1:30.796,90796
989,817,3,8,1:31.162,91162
989,817,2,8,1:31.264,91264
989,817,1,8,1:39.600,99600
989,807,58,7,1:29.521,89521
989,807,57,7,1:27.081,87081
989,807,56,7,1:27.082,87082
989,807,55,7,1:27.259,87259
989,807,54,7,1:27.513,87513
989,807,53,7,1:27.535,87535
989,807,52,7,1:27.554,87554
989,807,51,7,1:27.532,87532
989,807,50,7,1:27.874,87874
989,807,49,7,1:27.974,87974
989,807,48,7,1:28.519,88519
989,807,47,7,1:27.997,87997
989,807,46,7,1:28.185,88185
989,807,45,7,1:28.220,88220
989,807,44,7,1:27.902,87902
989,807,43,7,1:27.971,87971
989,807,42,7,1:27.820,87820
989,807,41,7,1:27.821,87821
989,807,40,7,1:28.717,88717
989,807,39,7,1:28.078,88078
989,807,38,7,1:28.145,88145
989,807,37,7,1:28.434,88434
989,807,36,7,1:28.724,88724
989,807,35,7,1:28.632,88632
